Block Hash: 4bdf7849225847a0b787e6efa6a50cf442cc4e66ee46cc657d6893794dab9714
Previous Hash: 09a054b325fe77b61c331452e1f78e21734350dc10037dad1a4520fe04fcdbdd
Merkle Root: adc7334bde51caadf812ea39f5eb23cbc83168ec67982272485657af3a6b2861
Random Number: 155150090
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- Charlie sends $41 to Bob
- Emily sends $10 to Alice
- Bob sends $37 to Charlie
- David sends $28 to Alice
- Emily sends $35 to David
- Alice sends $34 to Emily
- Emily sends $43 to Charlie
- Alice sends $49 to Charlie
- Bob sends $14 to Alice
- Bob sends $49 to Emily
==================================================
