Block Hash: 66b9c6c493990c394f8e36cc1891560afbbd65a6e63b6143212a0ca9f5859ca3
Previous Hash: f06e4b2aab76befe13ceb7b28ff64144c8a0b064bbfb4cac043ada72acd11b59
Merkle Root: c25bef80156535d156b21fbf51e65d951bd29c9912ad4318758d9723cc3da6b4
Random Number: 699832728
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- David sends $24 to Emily
- Charlie sends $43 to Alice
- Alice sends $47 to Bob
- Charlie sends $16 to Alice
- Bob sends $45 to David
- Bob sends $35 to Charlie
- Charlie sends $10 to David
- Charlie sends $30 to David
- Bob sends $24 to Charlie
- Emily sends $44 to Alice
==================================================
