Block Hash: 4d9db6a4c0be0bb1b523d85787b8be5c1c5df955cfbc43e99ad9b8fe7069cb5e
Previous Hash: 8ae9639aaf534d7e59a45d168c656c716356242459e7a60568dfcb1625d3d73f
Merkle Root: 01df00c7e737963c6f40b0996314717677b971a7555f58b6135d52b4c4a16822
Random Number: 135878788
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- David sends $18 to Emily
- Bob sends $22 to Charlie
- Emily sends $27 to Alice
- Charlie sends $13 to David
- Charlie sends $37 to Bob
- Bob sends $43 to Alice
- Bob sends $10 to Alice
- Emily sends $39 to Alice
- Emily sends $21 to Charlie
- Charlie sends $31 to Alice
==================================================
