Block Hash: de8f08957cf356405d5703000c2b5fbdf28eb0ea7190071fb50fe9b110baa203
Previous Hash: a8b234b8147306e0e7a211bf4adb12947ac3ff12a5521232eb78c83b63f52148
Merkle Root: a47cc42def393de84e19770641c6dcf566041403a34a97322ae899c0230dc6d7
Random Number: 321406787
Forward Hash: 0
Timestamp: 2023-11-17 11:12:35
Transactions:
- David sends $24 to Alice
- Emily sends $13 to David
- Bob sends $13 to David
- Alice sends $48 to David
- Charlie sends $22 to Bob
- Charlie sends $18 to David
- Alice sends $39 to Emily
- Alice sends $19 to Charlie
- Bob sends $34 to Emily
- Bob sends $21 to David
==================================================
