Block Hash: 28bdd893206be07c08251bbd1a29bb65d4d67517fb87a9bf4857791b2a42a803
Previous Hash: 0628e79885d1d30ea632e501ba3b400842d6c52477a87a1de21dee3d40a82610
Merkle Root: d6a31664238b6e9ee388f99a1ac10ef15d8dbef99dcf6f8371dd0e9f1c03bed4
Random Number: 194633970
Forward Hash: 0
Timestamp: 2023-11-17 11:12:36
Transactions:
- Bob sends $37 to Alice
- David sends $25 to Emily
- Charlie sends $28 to Emily
- Alice sends $48 to Charlie
- Charlie sends $21 to David
- Emily sends $42 to David
- Charlie sends $14 to Emily
- David sends $31 to Bob
- Charlie sends $19 to David
- Alice sends $13 to Emily
==================================================
