Block Hash: b11b6ed28271c734628f3f2c5b84bdf60695820dfbaba7cda7084b3c017f5fea
Previous Hash: 53be9ca4ea73994a8a745949f823f3a4f1028206966b8b788e2d6dff52bc2c58
Merkle Root: a7639736f4009403c51d524848ed2f5ae75260f8a24db2f96c4b4a6ee1a714c0
Random Number: 307662389
Forward Hash: 0
Timestamp: 2023-11-17 11:12:36
Transactions:
- Charlie sends $23 to Alice
- Emily sends $25 to Bob
- Alice sends $40 to David
- David sends $42 to Bob
- Alice sends $22 to Bob
- David sends $15 to Bob
- Alice sends $38 to David
- Alice sends $10 to David
- Alice sends $31 to Emily
- Emily sends $39 to David
==================================================
