Block Hash: 58ce3867a54ed00cb4c743656a23d5c567cf50a6eef059bcbb82b41fb5d43c56
Previous Hash: abcdaa532520e787b0d2fcc201310aaf51723ac2886db0ace799755957721d8c
Merkle Root: a2fbc665bc47a5504c02e6188a0a8ad01a317a9e8801444f11e3f9a3fa4cfa50
Random Number: 969137482
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- David sends $24 to Alice
- Charlie sends $15 to Emily
- Charlie sends $11 to Emily
- Emily sends $42 to Bob
- Emily sends $49 to Bob
- Alice sends $27 to Emily
- Bob sends $49 to David
- Alice sends $13 to David
- Emily sends $12 to Charlie
- Bob sends $26 to Emily
==================================================
