Block Hash: 0f338eee4d5fb98c26887a63e5f92f6c03a49f02f2f4db15cc680e59b7d621fb
Previous Hash: db3204fff878b37fe0084545ce98ffd283495988a1eeed4a6237304cda7ab7f2
Merkle Root: 601985d4dcdc3e689063c780b58c39a7c482554955dab41b8ca8f1c60ac6f871
Random Number: 190863134
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Alice sends $28 to Charlie
- David sends $36 to Emily
- Charlie sends $19 to Alice
- Charlie sends $10 to David
- Charlie sends $24 to Bob
- David sends $25 to Alice
- Emily sends $27 to David
- Emily sends $32 to David
- David sends $21 to Alice
- David sends $39 to Bob
==================================================
