Block Hash: a0735a40df63a57b6e7f945931d09d6ba2999dd6e858c15dc7301fcb30959fd4
Previous Hash: e49804c2bfbc6682687907f6028b49802226be5f49343180711130f9f7eb6770
Merkle Root: 7742a51d776677a40a5bb88f71350f71f29c865b6976ced7e76ad8809ffb9808
Random Number: 134254358
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Emily sends $36 to David
- Bob sends $15 to Charlie
- Charlie sends $31 to Emily
- David sends $45 to Alice
- David sends $21 to Bob
- Charlie sends $43 to Emily
- David sends $36 to Alice
- Alice sends $10 to Bob
- Bob sends $19 to Charlie
- Alice sends $26 to Charlie
==================================================
