Block Hash: 50f21511f93c39ed5160b8188e861286e4f373364e2b6069a37fbe8a82bf110b
Previous Hash: b780d2bbfb38b748733845e2ea7b401a427f96cea2d55040d18f35a1d82eaa11
Merkle Root: 2a3525b13bf23066c255c04655d09c5779fd0a9f15e6c87692b4afcf3ad5b84e
Random Number: 14557676
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Emily sends $42 to Bob
- Charlie sends $49 to David
- David sends $44 to Emily
- Bob sends $20 to David
- Alice sends $39 to David
- David sends $47 to Emily
- Charlie sends $19 to David
- David sends $44 to Emily
- Charlie sends $16 to Emily
- Bob sends $43 to Emily
==================================================
