Block Hash: 97e6794a30efa4de7163017918c3d6ca162a68460e6450cc3f5dad743e7a3656
Previous Hash: 9ce5d59d614904b426ab63017e0be07e7801763f5fb3e19875efe1040076bfd7
Merkle Root: 7d8e254350cfe4efcd633d3c1d6c8564e1dbbbedacd8ef3dfa675f52c7f81a28
Random Number: 923000601
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- David sends $32 to Emily
- Bob sends $10 to Charlie
- Bob sends $20 to Alice
- Emily sends $36 to Alice
- Alice sends $22 to Charlie
- Charlie sends $18 to Bob
- Bob sends $32 to Charlie
- Alice sends $47 to Bob
- Alice sends $31 to Charlie
- Charlie sends $11 to Alice
==================================================
