Block Hash: 24b102f098b4907e64dc9b484381ff76ca7a83bb015c2100231c6e19a81ec348
Previous Hash: cc33f1bc1296421f9f75b67f04752cd6be13b9f9d134a1feaaa2e28d2062bc18
Merkle Root: 6783a5908ee4146838d945ab1a42d947664575c827bbbf338e55efb6edef809a
Random Number: 451098216
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- Alice sends $47 to David
- Charlie sends $22 to Alice
- Charlie sends $47 to Emily
- David sends $41 to Emily
- Bob sends $31 to Alice
- Bob sends $45 to Charlie
- Charlie sends $16 to Bob
- Charlie sends $38 to Bob
- Bob sends $49 to Charlie
- Charlie sends $35 to Emily
==================================================
