Block Hash: 2a78bad4e10b6197fba28e9cd32d18535dffcf6f45d0ded9e4fce2b057b7256b
Previous Hash: b22ae77ea47e5fb5fe8a404fc8c9cc8cf43ae251d21743c17a6bbf0440e21058
Merkle Root: 46a72bfe6f875c85dd0ae67452436aaa5fe95161915cd1b689864ae412099a83
Random Number: 845051244
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- David sends $41 to Emily
- Emily sends $31 to Alice
- Charlie sends $31 to Bob
- Emily sends $47 to Bob
- Bob sends $28 to Charlie
- Emily sends $17 to Alice
- Emily sends $21 to David
- Bob sends $33 to David
- Alice sends $47 to Bob
- Bob sends $34 to Alice
==================================================
