Block Hash: 439d03a8b79b586e36bc266cb817cf9fc0cb43c4d8cff46c10f5bfb5c7142c88
Previous Hash: 51889a47986cffd34938b13dd1183d6401ffe13efb08456d452248d01042fc3a
Merkle Root: 0219ffeb909e5811d00357f2719704807457b994d1e7058efd371a1a56e72e84
Random Number: 191052038
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- David sends $42 to Emily
- Alice sends $44 to Bob
- Bob sends $39 to Alice
- Charlie sends $44 to Bob
- Emily sends $29 to Charlie
- Emily sends $45 to Bob
- Bob sends $15 to Charlie
- Emily sends $36 to Alice
- Alice sends $25 to David
- Alice sends $19 to David
==================================================
