Block Hash: 2315cb5e9d9f265f5a9230d00fa5d8fafe02d5056d2bea1e8f516395c0cc3b4d
Previous Hash: c4dbc6d418c6cb03412f58917e698dd5f23b0fc11f6ee67cdad8746ecac8ce18
Merkle Root: 38a235bc6051e60846ad5f18fbfe5b9c1954ba89d48c049b685f4921f5b95949
Random Number: 257851151
Forward Hash: 0
Timestamp: 2023-11-17 11:12:41
Transactions:
- David sends $15 to Emily
- Alice sends $48 to Bob
- Emily sends $47 to David
- Charlie sends $45 to Bob
- Charlie sends $32 to Alice
- Bob sends $14 to Charlie
- Emily sends $37 to David
- Emily sends $23 to David
- Charlie sends $25 to Alice
- Emily sends $34 to Charlie
==================================================
