Block Hash: 49fe12e430d4a1888600b186c7df69c1fd3da251b5d1a6b12cd02e6b313558ac
Previous Hash: 9c731f9d738a3c964031f754f785efb663c94a3f771ab46b38a2a7da00a8c6b0
Merkle Root: 9e5a3ab749ce8dfcfea6a373213c9be668107cd9ddbfa6dedf3ae8d1f9bcc90e
Random Number: 839253396
Forward Hash: 0
Timestamp: 2023-11-17 11:12:41
Transactions:
- Charlie sends $28 to Emily
- David sends $13 to Alice
- Alice sends $35 to Charlie
- David sends $11 to Bob
- Alice sends $32 to Bob
- Bob sends $44 to David
- Emily sends $32 to Charlie
- Emily sends $21 to Bob
- Alice sends $46 to Bob
- Alice sends $47 to Bob
==================================================
