Block Hash: f27c529fedfb73a039e3d50d90fd35c3225d160ba50b7b1928c73e46bfc08252
Previous Hash: 78c1f5f0d8b9ca0ee53842a5fb21fe82ee8344f62db07ac52a45fd750dbee72e
Merkle Root: 03198bc1c0d33f97d9c1f96104b2e70dd5d93d90178bd35622eed8a857c79469
Random Number: 663174911
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Alice sends $25 to Emily
- Bob sends $24 to David
- Emily sends $35 to Alice
- Emily sends $49 to David
- Bob sends $38 to David
- David sends $49 to Alice
- Charlie sends $18 to David
- Charlie sends $12 to Bob
- Charlie sends $23 to David
- David sends $15 to Bob
==================================================
