Block Hash: ff25165fb2301ee87a8a5198cfbcf87eb754fd46cabca4c5dd3912477e322722
Previous Hash: cc879c6a2a3381528387a24c09371f5ff2e1bc89057ee55e1e1472db45e8967d
Merkle Root: b3aa5a08839fd45cf29362108b34ccda6bf58c90b06b62faf73be78d74460ed7
Random Number: 566919754
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Bob sends $32 to Alice
- Alice sends $26 to Charlie
- Emily sends $13 to Bob
- David sends $16 to Bob
- Charlie sends $20 to Bob
- David sends $43 to Charlie
- Charlie sends $13 to Bob
- Alice sends $39 to Bob
- Alice sends $31 to David
- Emily sends $13 to David
==================================================
