Block Hash: 47c50a2e232a581f57dc2493f092c17965b4a51c694eb6014174ce66720b98f8
Previous Hash: 3ffe4c3ef438c51e459dd00211f1d7654fdab39c05e8d458eebeba7380fb8b40
Merkle Root: ed2026e4822f965b3806a702dab7459bfd506288546433da8b9872e51c1bf6f6
Random Number: 111016315
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Emily sends $24 to Charlie
- Charlie sends $32 to David
- Charlie sends $34 to David
- Alice sends $42 to Bob
- Alice sends $50 to Emily
- Bob sends $27 to Emily
- David sends $10 to Emily
- Charlie sends $14 to David
- Charlie sends $20 to Bob
- Bob sends $20 to Alice
==================================================
