Block Hash: 0552764df7e39099587d3834d48039c066c3220ef243c123f51cbdffc205a63e
Previous Hash: 90cd3930d8e57c91e7e95d412ac8cebf4350ea4b8eb87b98ff2350bec18a0557
Merkle Root: 5406d3c3687039cf4aefc03a2f9ad555eaa51a727f8563e42edbc71c99075aee
Random Number: 638378289
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Bob sends $31 to David
- Emily sends $10 to Charlie
- Charlie sends $27 to Emily
- Charlie sends $25 to Bob
- Charlie sends $42 to Bob
- Emily sends $10 to Bob
- Charlie sends $41 to Emily
- David sends $46 to Emily
- David sends $19 to Charlie
- Emily sends $48 to Alice
==================================================
