Block Hash: a8d13d7a2304681c1145b389688295793f5df411ea8d95da4a948d9842bc09a2
Previous Hash: 6868fc11015ad99588c33483ce813c5a4c4e1250bb25092524510e5649364001
Merkle Root: 7f40431dfd1d522d59034d765f5251c51cc0ac9e6c687bba881a6c2a37091a73
Random Number: 836495039
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Bob sends $50 to Emily
- Emily sends $32 to Alice
- Emily sends $41 to David
- David sends $21 to Bob
- Charlie sends $44 to David
- David sends $24 to Bob
- Emily sends $37 to Bob
- David sends $43 to Alice
- Alice sends $31 to Charlie
- Alice sends $13 to Bob
==================================================
