Block Hash: 4eff787549d88084b453474c11135198cf6f16572c2ea550c73f23c2785a350f
Previous Hash: 0bcb4b9a4583406b1c5f184fa2de7450a33ab70a12dfc0dafdde97db513b1357
Merkle Root: 8d0a200767276066c41d99e7a63d1b135f094da3b4c633f8a6d84df5d0c313ef
Random Number: 239702448
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- David sends $16 to Bob
- Alice sends $15 to Charlie
- Charlie sends $50 to Alice
- Alice sends $47 to Charlie
- Charlie sends $37 to David
- Bob sends $12 to Emily
- Bob sends $13 to Alice
- Bob sends $15 to Charlie
- Alice sends $15 to David
- Alice sends $32 to Charlie
==================================================
