Block Hash: 8f870b68c17d2661834201454c60856f0ed3fab2ccbf30851fd9ba919cf5fc21
Previous Hash: 19640accb30be506c8a1dd1b4a1505e933648b4dc80e960d92b99f82149090e6
Merkle Root: 7ca0e38619c7788b9b73fb4a6bd28a374cfb4bb542fac9787888f113736854dc
Random Number: 960660150
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- David sends $47 to Emily
- Charlie sends $37 to Bob
- Bob sends $13 to David
- Charlie sends $37 to Bob
- Bob sends $18 to Charlie
- Bob sends $45 to Charlie
- Alice sends $38 to Charlie
- Charlie sends $26 to Alice
- Alice sends $26 to Bob
- Emily sends $13 to Alice
==================================================
