Block Hash: 9b120c3d7ae7a73297de5fc12c323de17c8deed400cf2c31e0bb5cd8e56bf202
Previous Hash: 97fd72e8985c002c30fad9c5dcac848a0b9cf73357bd6a31dabd0873c38e8522
Merkle Root: dd4f131939b4dd218cf616d94add54a982284ce244520a7a22a236c53e5e0b4f
Random Number: 779764961
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- David sends $46 to Bob
- Alice sends $31 to David
- Emily sends $49 to David
- Emily sends $20 to Charlie
- Charlie sends $28 to Emily
- Alice sends $24 to Charlie
- Charlie sends $17 to Emily
- Emily sends $39 to Charlie
- Charlie sends $12 to David
- Bob sends $34 to Charlie
==================================================
