Block Hash: 0505bbb13a87e03e894f750d8e9bcd5778ff1cfa64e4df424fa1e7d6fb7b4280
Previous Hash: 4bb6ec9cf51b34a83ee387d633e2636ed45196f673b4c072637507f2862bf42f
Merkle Root: e4e3f8097b3b0b0bf8adfbdd22806861d555abba22b86a935cb8639c022fd0e8
Random Number: 616634326
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- David sends $27 to Emily
- Alice sends $35 to Bob
- Charlie sends $50 to Alice
- Alice sends $12 to Charlie
- Charlie sends $46 to Bob
- Emily sends $47 to Alice
- Bob sends $47 to Alice
- Bob sends $21 to Charlie
- Emily sends $21 to Alice
- Charlie sends $18 to Alice
==================================================
