Block Hash: c12f0ccefda10533c87ba9dfc57101e9f717510ca40b8d8a12a49ab664184fd6
Previous Hash: 91d44c2a5d2bb606a03cc2a58f47557614ee3dd9ab18ab645492bd4daf1a535c
Merkle Root: a64a56fb2c291aa946e15e88d987423eda30058823ac710b04c66e63e9b68582
Random Number: 239699825
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- Alice sends $38 to Bob
- David sends $19 to Alice
- Bob sends $27 to Charlie
- David sends $32 to Emily
- David sends $43 to Emily
- David sends $34 to Emily
- Bob sends $30 to Alice
- Emily sends $26 to Alice
- Emily sends $10 to Charlie
- David sends $32 to Charlie
==================================================
