Block Hash: b4f8b72b451d437065914f8d5008155cf5fc8fcfb084549b97cc49499585edc5
Previous Hash: 559210db7541b1dcde37e853c8e85360aec757c9b3a5e77fc3d8db7632f77578
Merkle Root: fee788d41e7288b349df89398948152336158ebdd8a0185b44d0c743840fce6d
Random Number: 73792438
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Bob sends $26 to David
- Alice sends $25 to Emily
- Charlie sends $38 to Bob
- David sends $18 to Alice
- Charlie sends $21 to Emily
- David sends $20 to Bob
- David sends $25 to Emily
- David sends $40 to Bob
- David sends $25 to Alice
- Alice sends $34 to Bob
==================================================
