Block Hash: 550fe435daf9479384380ad96db7fac2ebb254d915a269d1ab5786d40988bbab
Previous Hash: 41cc4d98e6ba214a49763d8723424d9a28308bdd822312e052f4e4c8294d76f8
Merkle Root: fd81f45bdc35cab27f261cd6472f122231d9cdfe85c4186f24a94b8cb34ae93b
Random Number: 73850439
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Alice sends $12 to David
- Bob sends $12 to Charlie
- Charlie sends $31 to Emily
- Bob sends $19 to Emily
- Charlie sends $37 to Bob
- Emily sends $30 to Alice
- Emily sends $42 to Charlie
- Charlie sends $19 to Emily
- Bob sends $45 to Alice
- David sends $37 to Charlie
==================================================
