Block Hash: a44d1320136f24648cbe42d219f63d572cad205947ea38ce126ca4e2f8353ea0
Previous Hash: 6d0c6e43dbad699113b8a386249a44e951c5240505dd0969f8f0f6d77f1ee8f5
Merkle Root: 190aa0c558f01477f1f82d4b901a74eef97665d3af0f468f690fdd8f9f2c006a
Random Number: 379715852
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Bob sends $41 to Emily
- Emily sends $40 to Alice
- Alice sends $34 to Bob
- David sends $26 to Alice
- Charlie sends $39 to Alice
- Charlie sends $24 to Alice
- Alice sends $25 to David
- Alice sends $24 to Charlie
- Emily sends $37 to Bob
- David sends $22 to Alice
==================================================
