Block Hash: daace4a9b35dabbad8e642630ad7de2d5ddf8d133c50905a2058d6f2edfa47ab
Previous Hash: 41c5594a73f64188015cf18edbfe119099685f2b235f98938562c4dd56697204
Merkle Root: 3b967e35a47c1ad3de41c76682183b119e7722b7315241ea14f31ce3e22e79f2
Random Number: 938065983
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Emily sends $39 to Charlie
- Charlie sends $24 to David
- Alice sends $45 to Emily
- Charlie sends $29 to Alice
- Charlie sends $21 to Bob
- Charlie sends $32 to Emily
- Alice sends $11 to Bob
- Charlie sends $17 to Alice
- Alice sends $16 to Emily
- Charlie sends $29 to Bob
==================================================
