Block Hash: c162baaa3fd6044cfe861aab9ac9a335a95db25bcf0244dee17a570f8cf928dc
Previous Hash: ad5e9ea412b907b69b6c8437a489e5754e8dea84f62a480a7d07a45856287893
Merkle Root: 97fe39718d4fc37a64cc4f1abe8ef69b91ef2f9dce5822790ae1c69209d5e1f2
Random Number: 197544216
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Charlie sends $23 to Alice
- David sends $32 to Emily
- Bob sends $13 to David
- Bob sends $47 to Charlie
- Alice sends $23 to David
- Emily sends $18 to Bob
- Emily sends $24 to David
- Emily sends $40 to Bob
- David sends $43 to Emily
- Emily sends $36 to Charlie
==================================================
