Block Hash: fd3c8c7068a424f6bca74a3f45a1711d6d2df33aa0f9c3c681bbb038e91145c0
Previous Hash: fbb1592473f2872518df52f47aa69f0ddf58474ee8d4b8352050f1cd3868431e
Merkle Root: 568c3429feb76b4a2cb8c2ac884447e55324f8f43ce88d485a670d2cfb4aecaa
Random Number: 274032650
Forward Hash: 0
Timestamp: 2023-11-17 11:12:31
Transactions:
- Alice sends $29 to Bob
- Emily sends $44 to David
- Emily sends $44 to Charlie
- David sends $48 to Emily
- Charlie sends $35 to Alice
- Bob sends $18 to David
- Bob sends $17 to Charlie
- Bob sends $37 to Alice
- Bob sends $21 to David
- Bob sends $13 to David
==================================================
