Block Hash: bd2ca7344329810921016531036400b2da6c68583e8b24a4ff90fbea2b31bbd2
Previous Hash: 2ab04688042ccf30e2de41b562164b2376fce89fdc88419d4f069a0823a0ed23
Merkle Root: 289fb7c2a233a146eeb59da11199c6a38db005d5e23b4959ea7d5d2c2b944707
Random Number: 637676940
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- Charlie sends $47 to Alice
- Emily sends $39 to David
- David sends $44 to Emily
- David sends $40 to Emily
- Alice sends $50 to Emily
- Alice sends $27 to Charlie
- Emily sends $34 to David
- Alice sends $17 to Bob
- Alice sends $33 to Bob
- Alice sends $22 to Charlie
==================================================
