Block Hash: 3bb11c64ef5664f704e135c9445fbc3005b227290459733100d8cfae5c04b5de
Previous Hash: 0217c53248ed153f841f08a159d64b7b2948eb64b89f44ee707d0bb381e84a51
Merkle Root: e8d9952318dc81368e085c511dadb30adc782538f5272b3ecd7bd48d86d1047f
Random Number: 590094586
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- David sends $46 to Bob
- Bob sends $18 to Emily
- Bob sends $49 to Alice
- Emily sends $34 to Alice
- Bob sends $44 to David
- Bob sends $13 to Emily
- Emily sends $12 to Alice
- Bob sends $44 to Alice
- Bob sends $26 to Charlie
- Bob sends $25 to Alice
==================================================
