Block Hash: 3b52cf74e85e70cb900e8ea4a6be11a5c8dd261bdba15746c03cafac5acc512c
Previous Hash: d4e85b3b5af81b3dd7082b4823bb091b66914f3ff674adb4ac97f247f12af58f
Merkle Root: e417a99106aa2a91dfc6636f33cba9f5ce8458e9328df97be251b00dc5cc2cf2
Random Number: 822827377
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- Bob sends $33 to David
- Alice sends $23 to Emily
- David sends $17 to Alice
- Emily sends $44 to Alice
- David sends $11 to Bob
- Charlie sends $18 to Alice
- Emily sends $22 to Alice
- David sends $19 to Bob
- Alice sends $26 to Charlie
- David sends $44 to Emily
==================================================
