Block Hash: f965bd2ec6009607ae3d32a47989d41beb060cd803505f4d22e2bf391063a0e7
Previous Hash: f6e864d4a1756165ac076bbe3358fe493be4ae556917ea1c392bcedff04d8559
Merkle Root: a53dcbeec8631191fdef610ec7a0def7a5c551f2c0777555730aee2a3b6730e0
Random Number: 743245410
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- Charlie sends $13 to Alice
- Emily sends $40 to David
- Alice sends $17 to David
- Bob sends $28 to Emily
- David sends $41 to Emily
- Emily sends $28 to David
- Emily sends $12 to Bob
- Bob sends $49 to David
- Alice sends $24 to Bob
- Alice sends $18 to Charlie
==================================================
