Block Hash: 1696f3a6928c2bd6c75456709e0b2ef3d3f52c6f970c03761a37468c53ef81cb
Previous Hash: 4367903cb1139e6084b40857bb999d5a8561265c829d9a03a5eff4a0bf70a4b4
Merkle Root: f097975f6ba7aec3f43be92881190f7d4fbb0a2d4e11e1e6694d7cc99ce474a6
Random Number: 877616762
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Bob sends $18 to Charlie
- David sends $17 to Emily
- Alice sends $35 to David
- Charlie sends $34 to Bob
- Alice sends $25 to David
- Alice sends $46 to David
- Emily sends $50 to Alice
- Alice sends $33 to Emily
- David sends $21 to Emily
- Charlie sends $37 to Alice
==================================================
