Block Hash: e7772a506376e3f0b6811d4959c463894e356bfaf14098899220b9dbdf5c5ec0
Previous Hash: 6f87cd9897e0fcf196d095eddc31f22ec7d923cba641e9d7030dfb2190781f45
Merkle Root: 038535efec6394962749e9aa56a5afef60f336a9ba3e09ebab203b98c2ccf72d
Random Number: 161169203
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- David sends $45 to Emily
- Bob sends $40 to Charlie
- Charlie sends $50 to Alice
- Bob sends $43 to David
- Alice sends $33 to Bob
- Bob sends $35 to Alice
- Emily sends $35 to Alice
- Emily sends $10 to David
- Charlie sends $34 to Alice
- Emily sends $19 to Charlie
==================================================
