Block Hash: ba9de1a2000ab0b5300e69736a6bb680d1029ae7af69f5e314ec77b5b338ad29
Previous Hash: 0af275cc4e7302382049d5278d998f28ac256882e629750f4d5d0052f9e02385
Merkle Root: c0a36b0c1b2886afa9321a884c5803d3acf2e922ad0b14dd7da38b8b40f53982
Random Number: 153517988
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- David sends $18 to Emily
- Bob sends $35 to Charlie
- Charlie sends $24 to Alice
- Charlie sends $40 to Alice
- Alice sends $25 to Bob
- Emily sends $49 to Alice
- Emily sends $28 to Bob
- Charlie sends $43 to David
- Alice sends $43 to Charlie
- Charlie sends $13 to David
==================================================
