Block Hash: eb73cc0fc3af1dcedfb6b00e14ccc40888e260522189bd618aaf22c3859c3c9c
Previous Hash: 949f47300b002238081d296b35eabbc8065b6f13e6a8304490adead04deca775
Merkle Root: 9224ec26cbc43a931ea864df9d354d780a08c15960c55fc125a246f397655f0a
Random Number: 195395949
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Bob sends $35 to Charlie
- David sends $35 to Alice
- Charlie sends $25 to Bob
- Emily sends $48 to David
- Emily sends $20 to David
- Charlie sends $44 to Emily
- Alice sends $45 to David
- Alice sends $21 to David
- Alice sends $22 to David
- Emily sends $13 to David
==================================================
