Block Hash: 31675a13eb70614e0d0437b657edbaf8c2df0c72a7e3b34b17f7116df09ab50c
Previous Hash: dc534425df32df6fdd86879c272b11594ba7162e7c761154c40506fe9e644b05
Merkle Root: a491f0f346d2ae06c2619c7ff16ce14ad7ba05876f369b525d304f9f37bfb9a5
Random Number: 212017751
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $11 to David
- David sends $38 to Alice
- Alice sends $17 to Bob
- David sends $30 to Charlie
- Charlie sends $16 to Emily
- Alice sends $19 to Bob
- Charlie sends $23 to Alice
- David sends $28 to Charlie
- Alice sends $16 to Emily
- Charlie sends $16 to Bob
==================================================
