Block Hash: 6ba052ee7218f80a9428043504ee59aa15c3085cc9b1c18841d3644447e7522c
Previous Hash: ec1f24e79d8776bfdebc381d6bca079530c46dd0498d10aa965b8a28f41a5b3c
Merkle Root: eac146ced7932e973b5bfb44d72b9d0f8d077f89884bf84cf6d1bf0af8e5ec1f
Random Number: 231516126
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- David sends $12 to Charlie
- Alice sends $33 to Bob
- Emily sends $26 to Bob
- Charlie sends $37 to Emily
- Bob sends $37 to Alice
- Charlie sends $36 to Emily
- Charlie sends $28 to Alice
- Charlie sends $20 to David
- Emily sends $43 to Bob
- Alice sends $49 to David
==================================================
