Block Hash: df6791cb8486e64198f7fa7d6a84ea7dbccc884d0591305a892858c0760f7022
Previous Hash: a6f4ac6888df04c4bbaacc34cfb3b1eebbb074e9d6a3f64d65aa67bbc7c92257
Merkle Root: 25a2f28779e7c83246cb05f52413484f4f33fddccaf22f3dac4525793d76748b
Random Number: 383735780
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $12 to Charlie
- David sends $21 to Emily
- Emily sends $35 to Bob
- Emily sends $41 to Bob
- Alice sends $38 to David
- David sends $31 to Bob
- Alice sends $48 to Emily
- Alice sends $17 to David
- David sends $36 to Bob
- David sends $17 to Alice
==================================================
