Block Hash: f4a98bdbc1aa96ca2e66c0a638f47b561336cc6e4dc97b9dbc006e1a93f839e7
Previous Hash: f5409abb22ff3f48db404a25b24211722347f995f1f018cf3291715abc9ea161
Merkle Root: 00616c59b44d1124d0ddca24546816a60bfe1d8681674f805533e01fb9540c98
Random Number: 637425591
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $39 to Alice
- Emily sends $33 to David
- Charlie sends $12 to Bob
- Charlie sends $11 to Bob
- Alice sends $49 to Bob
- Alice sends $47 to Bob
- Charlie sends $31 to David
- Charlie sends $33 to David
- Emily sends $39 to Bob
- Emily sends $28 to Charlie
==================================================
