Block Hash: fdbf5c3781e6ec29ab1bb1be9319436c2d656b36fbd249c13338c6d004aee0fa
Previous Hash: 196a5e5d355a73a09c7b69e4f4bb371bd6852e8b0431d2a201a248550468b773
Merkle Root: b50ebebed0cbb3ee863e6a3f74c038312cde0d98e7df4f7cd5cb605b68341ad3
Random Number: 114107846
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- David sends $43 to Alice
- Bob sends $23 to Emily
- Alice sends $45 to Emily
- Alice sends $45 to Charlie
- Bob sends $47 to David
- Alice sends $15 to David
- Alice sends $28 to David
- Bob sends $33 to Charlie
- Bob sends $14 to David
- Emily sends $22 to David
==================================================
