Block Hash: 3c8432cb8b0253459414dbb96379eecdc55b5ead0fd34bc3a3306d5dcf9a7d65
Previous Hash: 9769a1d92994eb43fae6d59432f90b02f8ce57a54c2acdced307c57941bb1a37
Merkle Root: 93112ab7430b4d2a61dfcb3f053683c87be45f0bf6fb1bc05037a2fdefc46556
Random Number: 69040906
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- Charlie sends $49 to Bob
- David sends $24 to Emily
- David sends $35 to Alice
- Bob sends $49 to David
- Bob sends $13 to Charlie
- Emily sends $37 to Alice
- Alice sends $26 to David
- Bob sends $26 to Emily
- Bob sends $14 to Alice
- Bob sends $17 to Emily
==================================================
