Block Hash: 5149c96db6fc33a12c4948f7aefd50fc67f705610943f747b45faeafb50eaadc
Previous Hash: 9ec6af607d442aa024809c0b12d42642b5b11d0d0443590828d0561e88f83606
Merkle Root: a6a94bbc275d9aa9a746028ee5450794d5c93be3e79e0486cac25c6ca1c652eb
Random Number: 807267554
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- Emily sends $45 to Alice
- Bob sends $40 to Emily
- Charlie sends $50 to Bob
- David sends $41 to Bob
- Alice sends $10 to David
- Charlie sends $33 to Bob
- Alice sends $41 to Bob
- David sends $28 to Emily
- Alice sends $39 to Charlie
- David sends $35 to Charlie
==================================================
