Block Hash: 2b74b875352bc402c771f8519e6c3cc28140e2e2bcdadf07cac1495ced78c42f
Previous Hash: 57daab93e4fca63fa7a4f2092114211948d59b4c24f32d7d8dd79df520718cd6
Merkle Root: b68b20ddf94d72327e9df87fe7ce049a616f2a4cecdbd4dac500b3408cc7054c
Random Number: 569998935
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- David sends $27 to Charlie
- Alice sends $10 to Emily
- Charlie sends $40 to Alice
- Charlie sends $14 to Alice
- Bob sends $27 to Emily
- Bob sends $44 to Emily
- Alice sends $50 to Bob
- Charlie sends $32 to David
- Alice sends $45 to Bob
- Emily sends $39 to Alice
==================================================
