Block Hash: bde8dfe5534b00686bdde41b68458b8d1e409032ffecc7af47695c3d5eaa3c85
Previous Hash: 97c64d032bd43ecfbb4019d654992f1fb67f009e9b399523bf67c6bfbcbb9b7f
Merkle Root: cc03d3d6a58fcc016cb282342ce148e6f899cb6968ace510bb86ae6391053ffb
Random Number: 469944598
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Alice sends $43 to Bob
- David sends $41 to Alice
- Charlie sends $39 to Alice
- David sends $21 to Charlie
- Emily sends $31 to Charlie
- Charlie sends $30 to David
- David sends $21 to Emily
- Bob sends $16 to Charlie
- David sends $47 to Emily
- Bob sends $49 to Alice
==================================================
