Block Hash: 2b9ff62eb696bf40100cd2c1e1f51e7e44ea816f6f750716d926efbced199fbd
Previous Hash: 310d9f7f276feaf58284f82a6a98d5c62b713c74cc0894e5d6c187b194bbcf4d
Merkle Root: 009464c744d011006bbde2144bb2bfe8fe1bd8493cc86e648794d4c6a668162e
Random Number: 793570046
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- David sends $20 to Alice
- Bob sends $19 to David
- Charlie sends $14 to Emily
- Bob sends $13 to Charlie
- Alice sends $33 to Charlie
- Emily sends $40 to Charlie
- Emily sends $32 to Charlie
- Alice sends $24 to David
- Bob sends $38 to Emily
- Charlie sends $26 to David
==================================================
