Block Hash: 5b3869278daae49fdded2d2afd3b6c8999fea507c57c9730d162451695a010bf
Previous Hash: e3cb79f150f8a1f879316b1d248843353416265cf2f7b70c67f652dfd97a1f0f
Merkle Root: 23f2d23de29486c891e3891ddbccf6ae06306cb349bbd37e6c20e78575e2a30b
Random Number: 502051666
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Alice sends $34 to Emily
- David sends $28 to Charlie
- Bob sends $23 to David
- David sends $22 to Charlie
- Bob sends $32 to Charlie
- Charlie sends $19 to Alice
- Bob sends $44 to Alice
- Emily sends $19 to Alice
- Bob sends $38 to Alice
- Bob sends $38 to David
==================================================
