Block Hash: 8402faa8b6e33ee38b1ef54698d3e231febb4c13ca44909aa0a1440131919b20
Previous Hash: d68c2798a5d79e6ab439cce814483bfb81e09ac6ec4190eca45e0e00fd6d1b30
Merkle Root: c4b8ffa69a0f38f68bc87284cf793c21937541b2f11856383089919472f3947f
Random Number: 178222028
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Alice sends $28 to Bob
- Emily sends $33 to David
- Bob sends $39 to David
- Bob sends $39 to David
- Bob sends $16 to David
- Bob sends $33 to Emily
- Bob sends $50 to Charlie
- Emily sends $43 to David
- Emily sends $45 to Alice
- Bob sends $48 to Emily
==================================================
