Block Hash: b5b4add6f21eb427dbc7c09b7da9e0e305ca20a7a234e660623a31dd79008b8a
Previous Hash: 569baa3d47d27a8193e7bf282fbf50bdd0327393a512c0f24a511bd8dc2edcbd
Merkle Root: 5e314428110af2cf5e9f59d5c184f2340adcfabc97e37c0480cdddf32bed2043
Random Number: 463999322
Forward Hash: 0
Timestamp: 2023-11-17 11:12:54
Transactions:
- Charlie sends $18 to Bob
- David sends $18 to Emily
- Emily sends $13 to David
- Alice sends $37 to Charlie
- Emily sends $14 to Charlie
- David sends $40 to Emily
- Bob sends $24 to Emily
- David sends $44 to Charlie
- Bob sends $45 to Charlie
- Alice sends $35 to Charlie
==================================================
