Block Hash: 4dfedafa009554631f0f285e3b99899494f43ce16f2bf99a08b9c63bf2fa0d6f
Previous Hash: 70c7549c46cec1cf3f08a1f3740a97d14ef77ffe84cc907cfe8cb7a7cee3f942
Merkle Root: 8f4aad4fb220e107e49d2ae48db87ddb640c3d1bf36a0454cac7d4cf3dd3cc77
Random Number: 794421150
Forward Hash: 0
Timestamp: 2023-11-17 11:12:54
Transactions:
- David sends $15 to Alice
- Charlie sends $46 to Emily
- Emily sends $16 to Charlie
- Alice sends $23 to Charlie
- Charlie sends $34 to David
- Bob sends $39 to Charlie
- Emily sends $32 to David
- Charlie sends $37 to David
- Alice sends $39 to Charlie
- Charlie sends $40 to David
==================================================
