Block Hash: bcfd3ccfe4ba678b58d59018644d7850232681acf9e376d05ac0149e874f25d7
Previous Hash: 4dfedafa009554631f0f285e3b99899494f43ce16f2bf99a08b9c63bf2fa0d6f
Merkle Root: c424747d656ed20a073efbf99ed80edeb0c5efa513de2782d6bd51c46c459004
Random Number: 190815752
Forward Hash: 0
Timestamp: 2023-11-17 11:12:54
Transactions:
- Emily sends $35 to Charlie
- Bob sends $10 to Alice
- Charlie sends $10 to Bob
- Alice sends $15 to Emily
- Charlie sends $16 to Bob
- David sends $33 to Bob
- Bob sends $48 to David
- Bob sends $42 to Emily
- David sends $13 to Alice
- Charlie sends $41 to Alice
==================================================
