Block Hash: 63c7d25592b6e74bd2d700e0cb03d1c95d100167323214de8747431cdbd6ca3e
Previous Hash: bf97e3c418e71f5194731523221de5b1ecc7b139716c0feb683efc5d74b76c3b
Merkle Root: 840629c16d490341642fbd1c5dcc823291fcc87ffe2707ec5c8fcd0d01447b1c
Random Number: 40419641
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- David sends $45 to Bob
- Bob sends $39 to Emily
- Charlie sends $27 to Emily
- Alice sends $48 to Emily
- Bob sends $12 to David
- Bob sends $36 to David
- Bob sends $45 to David
- Emily sends $49 to Charlie
- Alice sends $29 to Emily
- Emily sends $41 to Charlie
==================================================
