Block Hash: 6305ec24aab46e2607c47e40ee109fd7be7cd62b19593548adfa5f877f0f2183
Previous Hash: c2567c6cff721052ff3d1d36381293941380d422c931826a763d21e6eced5d0f
Merkle Root: 34857670606c321b6968c6963e460afae26ec061b7d3fe85375cecbd35448ac9
Random Number: 602883867
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- Alice sends $41 to Charlie
- Charlie sends $30 to Bob
- Bob sends $36 to Alice
- Emily sends $46 to David
- Charlie sends $15 to David
- Bob sends $40 to David
- David sends $39 to Emily
- Emily sends $41 to Bob
- David sends $39 to Alice
- Bob sends $23 to Alice
==================================================
