Block Hash: 44b4078ca06889659c962c8087ae32cc7a316066b5900f24cae30f32c6bf3241
Previous Hash: 1737e63910ed2558d3623fefd839b505b1bb5b3cfcb5392779c8ab36263c7e4e
Merkle Root: 4f216779f98faf9dc77a27fac8a671de18587d073aae465183ff06d0718f0d76
Random Number: 306853364
Forward Hash: 0
Timestamp: 2023-11-17 11:12:56
Transactions:
- Bob sends $23 to David
- Alice sends $40 to Charlie
- Alice sends $24 to Charlie
- Alice sends $32 to Emily
- Alice sends $17 to Bob
- Charlie sends $15 to Emily
- Charlie sends $32 to Bob
- Alice sends $19 to Bob
- Alice sends $33 to Bob
- David sends $42 to Alice
==================================================
