Block Hash: 947f49146fe2be3e0ce40789e0553254cb7f0771b4cb086937a180c97a859c1a
Previous Hash: c4924d44f47dac51c568a0e281fc4e68db531909d2120e4dd60949a2e939d8a0
Merkle Root: b339df47ef6de41980cbfbc2b260765fdc8f809bb07b79860d59203508fae901
Random Number: 496759820
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- David sends $23 to Emily
- Emily sends $17 to Charlie
- Alice sends $14 to Bob
- Alice sends $18 to David
- Alice sends $17 to David
- Bob sends $25 to David
- Alice sends $14 to Charlie
- Emily sends $27 to Alice
- Emily sends $14 to Bob
- Alice sends $50 to Charlie
==================================================
