Block Hash: 055982e97565b30a5c5c6557247446bc7f28cf2b0ddcc902890624b8a0cd818b
Previous Hash: 4b8b8b0dbb609bb95c5ede6f67f8e10ecf921501cbfb5fce51d5fb9de289d173
Merkle Root: 9600309a1865a22ab7bfee843b8e6c06fdb9f4ed980ca67cb10a570d938ad523
Random Number: 213309068
Forward Hash: 0
Timestamp: 2023-11-17 11:12:57
Transactions:
- David sends $50 to Bob
- Bob sends $15 to Emily
- Alice sends $45 to Charlie
- Alice sends $44 to David
- Bob sends $30 to David
- Alice sends $47 to David
- Emily sends $28 to Charlie
- Charlie sends $41 to Emily
- Charlie sends $34 to Alice
- Bob sends $47 to Emily
==================================================
