Block Hash: 20b5f1062d85d2013c1125d60fbb6cd3d463c9573e446de4919ee4cb2fefc9dd
Previous Hash: 0294cdb0f39fd4ec2a9bb65db464c8828d7f399f1f84429ea0796dd63acd2ed4
Merkle Root: 40ffa056098293ea3678a98651ea02862ac46fd5e67c69ef58d5ac8f15b76ae4
Random Number: 224162470
Forward Hash: 0
Timestamp: 2023-11-17 11:12:57
Transactions:
- Charlie sends $41 to David
- Bob sends $10 to Alice
- Bob sends $32 to Alice
- David sends $33 to Charlie
- Alice sends $44 to Bob
- Alice sends $29 to Charlie
- Alice sends $33 to Charlie
- Bob sends $30 to Alice
- Alice sends $41 to Emily
- David sends $23 to Emily
==================================================
