Block Hash: 5759bdc6158036ad261ef818b3ab8a3ebe6217fb99ef82a80c84fd652bd0be8b
Previous Hash: 3ee6feb9f0b443e6a70459c30c8c42aefc0905bcc555d903596651397ed75864
Merkle Root: fb530ec6893a6011f397327ca55d544146a0930c1c5af67b0d7f4094f73bf757
Random Number: 685678903
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- Alice sends $45 to Bob
- David sends $31 to Emily
- David sends $22 to Alice
- Charlie sends $32 to Alice
- Bob sends $49 to Emily
- David sends $43 to Emily
- Emily sends $45 to Alice
- Emily sends $47 to David
- David sends $24 to Emily
- Bob sends $46 to Emily
==================================================
