Block Hash: 8f4944ed173942dea17fa13bcf137ffa67cba13a678e435d3d42f9b3f84730d6
Previous Hash: a723c8895b32c182b05318664cb48c89c6e1876ddd30fbe94fccfc3eaffb5201
Merkle Root: 6f0ddb2e17181a5607035bd3f5cb7857e118df12f21e8af7e3feefb7ac8ab750
Random Number: 14571757
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Alice sends $14 to Charlie
- Charlie sends $33 to Emily
- Bob sends $36 to David
- Emily sends $12 to Bob
- David sends $11 to Emily
- Charlie sends $23 to Alice
- Emily sends $18 to David
- David sends $44 to Emily
- Charlie sends $13 to Alice
- David sends $25 to Alice
==================================================
