Block Hash: 58872b082cb3d47d4b53e120181d3ef7e6abd1e59f434393d9466d243106b619
Previous Hash: 3335a1d5d334aba92530603ff71032b28c518df6eef46759ea10aa2579121d41
Merkle Root: 705b5b2c7ca7ba0e409c04cf42b8844257afc83db34b96a0ce87f1e843666625
Random Number: 814763734
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- David sends $47 to Bob
- Charlie sends $25 to Alice
- Charlie sends $36 to Alice
- Emily sends $37 to David
- Emily sends $28 to David
- Alice sends $26 to Charlie
- Bob sends $39 to Alice
- Bob sends $17 to Emily
- Bob sends $31 to David
- Bob sends $37 to Alice
==================================================
